participantId,ic_conway
0AC2D96EB03B4CBD86FD28529D4A0F53,1.0
305D194439784138A7A4F13CACF45AD4,1.25
FCB79CA5BC314B18981A5B1DFFED837A,2.25
83CA2776D2934623BE848D3E52447CE9,2.0
45058888FDFF4477A0CC4BD0AD8CBCF6,3.0
F283F734C66546018E5A4441E6D72175,3.25
113B49B2AE4A4DC498CEB59DB9A86125,2.0
593BE2793EB845229B56916EAF2B00D7,2.5
29C5C09A376D4377B961D6898F2995FF,1.5
B4C2801910A4437E86A6FFE31337C252,1.5
36C7F1E7CB144878BA1B3BE70B1B1FD1,1.0
002D321B2814496DA6BDA3438A04F646,1.0
0B6AB0B22E0C483D8CD7E057C84F40B5,1.0
172A85CD76834494978381D1A1025E1C,2.0
D1EAA51ABDDC4B2DAF31E60B2218768F,1.5
DD6C2DAFD90D43D99B8EB5104FED015F,1.0
280AC64B163F4EDB84E7501ED2D556E1,2.0
62AA33CD5DF341409E259838FB9FE08C,1.0
EF2864642EE94378B0199FEB57D0F8FE,1.5
C224D9BA716A40C0A4CE798D2E32220B,3.0
7DB64DBD8D2840CCB78F873E5D2B55DB,4.0
4A1D9879B49F4CC48C0B56F4404FDD79,2.0
3852396C477943258E7EE91584600B4C,2.5
D53E9EC9E2074B16BD694A2AF55DC2DB,1.75
09CEA90ABB7A4BBDA84C66A126861C99,3.0
1CF7C21F094A41B787AA4786ED542DC9,2.0
C20DA5B989DE46AFA8BD9CB8722E5ACC,4.0
73FBB1DAA92949E39B087605F1BAE670,2.0
C11EF057F35B4900AAA36B0A12F600D5,3.5
92800AB0E7A240A08354F6D7C361FB87,1.5
CEFC946AE61A4BE396BE6303FAFE8800,2.0
63B82373A85547C59094EDDFEEC81854,3.0
6BA36FDE963A4CD6A64606F09AD8A788,1.5
F95B469F22304D69A8C46EE4264978F6,1.0
A53DD8EC9F15451EB0EC9375DE080EC1,1.0
FF3A598259634A53BD8E99ECB19FD8DB,2.0
6D1184B973EE42BBA25592B2989F2B29,1.0
DFE2AC1CB8BD4F5E968C88702D019063,1.0
14F37F4836E74DA99D8580CDA2DA9466,1.5
1E38DF1521A84B339B6B950259245195,1.0
7AA5D7F9AF35472E837F786C28F0AE01,3.5
BED8600377F04D36A495F97D2C9AF18C,1.0
8309B0628D0E466ABE7663511239FE10,2.25
32AFEA148350483B827F31CBA44CE975,2.0
F30D8E1A46374A3395F3B4970C7D74B6,1.5
090D3CFED70D494A9BF246CA0163DDD2,3.0
C2932169465F46C3B987EC73F583ADA3,3.0
0ADA37824AA94F758F7EACBB6B30F330,3.0
DDBDAB1F7A064D20BF141E8B48C0C19A,2.75
540FD707F74546DA9DBBABEA2F8236E1,1.0
FB4857975F554E61B1C153059BC3BD1F,2.0
ABE7036C1E484A58A30855374D8DE5D4,3.0
E54A61DBE6FF476197309CE8FE625AB5,2.0
B2923BDD4947444895D865C09B65DCE7,2.0
27C96E8DDC7E4730827171054E324FD3,1.75
B68BD0E6F41A485B82915E7849D16C84,2.5
ADE1ADE7F72C41569AC04C700DBB783B,2.5
82450589A0E445889F9B2CC311989574,1.0
2D8B47CFA93F4F9297762920974DD1EA,2.5
30BD1E4838B84EC1B64F2C8CB1102174,3.5
47F47A04EB6A4376AEBF677F8C86DA75,1.5
5911B1A9AE6D4E3388B295D078B7F49A,3.0
6BC32F1FA1A54DF6BD812888AB6D2B42,2.0
EA5721208DF947EC935391B65CB0E906,2.5
46AD95E4872045E097CB1B8B5E54A4D2,2.0
D7304FE7F233467A826CB4A5939DC662,2.0
1304BAAAAFA04DEE959F8EC00A5E49F6,2.0
4C906ACB19764635A2683367A6374361,2.5
0E0D3F24900D47D9BE328C291BD34F61,3.0
E3E214ADBDC34A8E8767980D34FC4A63,1.0
C4303A5F65D041D391BB020BA40D77E6,1.25
1FD4C18B0D384547A10B4BD0C8D8DF7E,2.5
7690A28E51994CA7A219E02E28DC227B,1.5
EA58A17E477347DDAC6E987B993A0FBC,1.75
18BF3F62EA1E48C99F02957B74EF2626,1.0
C71DA553BF464DB5947B73A764F7737B,2.75
0D1BC9FBDD1340F6909E63D0DE210109,1.75
99240EB9F06E4CC6B3F5071227614076,1.25
5B51C2E3CF214D3298BEEBCCE99B63F4,1.75
3C9713985EF6444A974C932DC3038446,1.5
D6C205933CD040E9A042F0C275CD4C0D,2.0
AFCEB73B491244FBA313937A1993B4FC,2.0
3E3450E8BCA14E06A4015035204873D0,2.0
A266CB127F334F06A9AC44BE869D05AC,2.0
78B8260DF00845409EAA25A19A32D983,2.25
98B5E42FE2DB421E87850A708B590B36,1.0
A2A246CDC1B2414EAABCE3202019AA37,3.0
60DBD443B4F34727A4CEF8C20CA5D6E0,3.0
17396E5B849149F69A7A7F00A494C443,3.5
66A13C4BA8E440C7AC6A56618803516B,2.0
7776FDF26EFC462B9BC79657AD22DEBE,2.5
8CB11E214EC74ED285790267A0CC6244,2.75
40A8074BACE84DFFBFCFB1900226AFCE,5.0
67072977C58740A19253F4B13879300D,2.5
88D3CCCAE163463FBC160586C7EEDFAD,3.0
BDCAB2EC78DB441B8988535ED10CB325,1.5
BDCB329DCB0848E996AA11B62AFEECC9,1.0
FDC65C5F8DCB4731B5953C1745FC9696,2.0
191FFCCB72F34A3188F338C4AFD474FD,1.5
D323C2D081DA48DB8489D599DEAFB8AD,1.75
FD16A6C35C434CE8BCA7B1EC6A92DB91,2.0
E703C2685909438587D24B2366310309,3.5
189C3E7BE9974706A20C5FF5DEBD57BC,2.5
DFACF4D3F2DE4CF08257247F8AC4B108,2.0
97E3256B78254ADB8BBA2A8C58A1A9F3,3.25
5465CFB035C048D5B6B2170FA69529A1,2.5
38FFD6F4628448F28B46E86FDF6E5A9E,1.0
147A85A3EE4E4A57921F890CA7232BC6,2.0
C604D077C6F644DCB79ABFAD53468012,3.0
7AD2281E53434F05AB9B915D29D9883A,2.5
FBC94C6AD0F345148E2D665113347C95,2.0
9692679B65FF4C4B9040BC938BDD2042,1.5
0D2A2231EC8249BAA92F6094E067AC71,2.5
D6F6579F5929468FBE9AF42299F9A2A9,4.0
7FC54A2BBBA844EC88AC2A5565845AC7,1.5
3C6A217DE6664F54B1103A5E9F227CA6,2.0
43EE05B1C9A14B2CA3D27C96E04674DE,1.5
2005C80C4D674B82A36FD906AE99C269,2.25
0A02A8468E53436CA70D62333711DCE4,2.25
9DD69F6D8F5148429E16D457B9711026,3.0
B2492A6539854CAEB346034B58268516,1.5
3E3DEF0881C743638CFFA109D69F83F2,2.5
89E7C851721F49EDB210B9C6E60729E4,2.0
D9E232D397614A8584ED22E638521183,1.0
48CF0836208947F3A9C1303E7ED49A0A,2.0
08AD676E193D4EF09FBC96786A099818,2.5
A13E44653102443887FEF6AACB30DCC3,1.0
1A7EA2A243BF467897CDCD8065FD980B,1.5
C1520C3DACAA4C0A896DDC19832C2CB8,1.0
9C4DB794FAC8413296A8DCAF46779B3C,2.0
A517C7EC0157476E8A8F155A80F7165B,3.0
3897878672EE48D19710F861C10825B7,1.5
5AA0D8820B684BDCB0B9D1585467496B,2.0
8A9A3D65205841628819937CCA6EE91A,2.5
3701428B74B748B4A55DA78FEAF1D7C8,4.25
1B50F986520746DEB6C52F0A30F9E0EE,2.0
AF33F003A3A54828BD839D51631828D2,1.0
0F7EBF94F63043299EDAA3466A243836,1.0
6F51CFD6C3F54FADBF2DCCD1AF3643C2,1.5
3105C9CC889E4367AB84F63D002677E7,3.0
7888A2429F784143A381F03582A8DC5E,1.75
E1E46260FB044E738819C0A8BC2FC4E7,1.75
8A57986CDDE54B6DA9725EE57FE00DBA,1.25
613B580C07A84D71B6651F80429494CB,3.0
74901D2ADE564603BE59D28A55952B5C,2.25
B3D4498EF6CF43BCA0FDB7A1786CE95D,3.5
75BBCD78FEAA437AAD80280A70DC6B8C,1.5
C955B6161D3344FCA960611500CBBD01,1.5
1EC68FB44F3E4137B7AB7E4403CEB98F,1.5
D8F22F9538DA430BB208705F4925E019,1.5
73B04382C0A34AC0958E4F242940D4EA,1.0
9699036197734B979386DB4245EA24CA,1.5
B4D757311CD242519B0C288761F32118,1.5
CAEFA0231B1149C58F819C7F67479694,1.0
6932152018164CFBBE74613822660F93,2.5
1DE44F23C4D54CA9B8FB5B931D596BF6,2.0
CFEA8E05CD284286A0495E7688A33342,2.0
AD6E14E985154BFB980D78884436EA80,1.5
2A04A16CF7C6422AB88D6C019A6A3524,3.0
4B87A84E40A140DAA4CC7AD974458460,2.75
4A9212285E024A8CA11A93E82524835C,2.25
814D749030154C1481BAA62204BC0693,2.5
4297AF3FDD3046A09816FC17FCEC1DD3,2.0
12E48DA17B874C96ADED1C40AFA77EF6,1.0
6E326A48770148549E12278B48A5DC99,2.0
676B796962454B5B82D5A865EB7DB888,1.5
7C504BD4C331429F811D40652C0B1EC1,1.5
E06591E0AE514EC4BA6E5471B203285A,1.0
9A5B731873534EC5ADF37FC60ED9842E,2.0
32557ED8C8D24F46B3B42975F74FA74D,2.5
C732C40CF64B4D93A569A651A0D2C5F7,2.5
7E37D98AA76941A59E055FF280EF504A,2.25
67947FB48B8E4A06A33B71A6A01F0E78,3.0
DF7C15644A334918A9028EEB1DBE18C6,3.5
57C8D31840664B69984E1706B32B0209,1.75
3ADB2033FD504029BBC8C3DB21B0E992,1.5
7763CA82E22E444B9B47E70C70D8EC14,2.5
896A712B60BB4BD1A92A9449A49BBF49,1.0
FC28493F6C9D420FB285F7C99D2EB849,1.0
04D41E6B266D4DBD9F5C2DF68FC37E88,2.0
00D808BCA2364DC0A9D86AAFCCF3B83E,1.5
E0CB7691192749199864EBD9F57CAE6C,2.0
414B488E96C149CB847C9410220F910E,1.5
5366A7251E5A41C280D47C8FD2328B43,1.75
E74DE0C0CA8E4137B68B73C556466ADD,3.0
6351F748534242D4BFC6E28BB8D8C5A4,3.0
1579D86EAB1643728C911CA441E2AFDF,2.5
4340729D52124358B71F7EB9BF157CB6,2.75
D76C9C5589D34341862831C7E35B4A39,1.0
ACEE6417B42C4F65AA6EC2158DC8ABEB,1.25
0FD2FE3A81B944F998CFBA7227EED4F1,3.0
4ADE012E62DB4030A7048F4A068417F8,2.5
4CDB75421A14494A806C1DF9F3A60BAD,2.75
D7FC6CC93A484795A0736275EE7EEA5C,2.5
4EAB4046C33140B598498E98EFF79369,2.0
3E4715FD6B504F5FBA2DFCF2B498109F,1.5
C656FF39716E441FA4313164CF7820FE,3.0
A8DDC8349ADD49FCA4B3FD170447A9C9,2.0
1E33694C90664523B1AEF85C06B15DB6,2.25
8543FF72CA7647D2ACDAD493AD5EF6F4,2.75
79493AC9CFBD4A36962E51A5ACA4BD64,1.0
303D99BA9DBC40BEAC4248F43EC2654B,1.0
BB6CC7E39FE141A98BE52FDA214419E2,1.5
3A21AD090BD241D5AC2F9727504866AC,2.5
6F8CA1FDA43B4C5DAC8A31E6AB1FA7AF,2.75
9445D0F623B24DD7AD9FAD3E9BD82B8A,2.5
97181789BE4A4C4B8A1B8C3451398B21,3.0
EF890A0149AD4AAD9DDC317738F0047E,2.5
5BAB0A1BA15A465CB8D7448D7AA9E8FE,2.5
0812D70A96C540C494E0303F848FE07C,1.5
C33CE5B1CCD24882BDD5C9A3DB370CD9,3.0
14859321998D497897702AF68E4B0855,2.0
9C83E0FF26FD471993D8C4042C8905BD,1.5
827F6378F7DC477FB1FE1B32A45AC7E6,1.5
9D6A8DABA9064A83972F7F55B2FE8D85,2.5
54B9F370C90B45C09BEF11B7F18EA8BF,3.0
3E9A4A2D381C45359172DE1BB0811084,3.0
FCB884A0F5A448868B2CB0A14C369AF9,2.5
2DBAFCA77A984F5281AC177BA95BDC3E,1.0
453E8B8456E9424FA9946D9509371D29,1.5
D67539026EFD4D1FA0CF69A6282BE0E0,2.0
BE7E89A52976411D88B6D3C55D50F94E,2.5
630187E343104A0792CFA87A741EC609,2.0
BC7635B522B341369D685F7D5225BA5F,3.0
BDE67C2DF7E34C829465442702DD3ACC,2.25
740A1E364D754D8D837DAE1CBB37DE27,1.0
33EA65F95A8B452F801254B76D7571CB,2.0
4D8D23549F174F5A9DBC9E67CB1B1056,2.5
4EFF0C55886D4D5DB373C46B17F00B30,1.0
9D3CC2A0CD0E4D41BBC962D772887420,1.5
50E8E993DB1E40B58EB9D70E3FE58C6D,2.5
